Target,Source
E2F1,STK4 
E2F1,STARD13 
E2F1,STAM 
E2F1,ST6GALNAC2 
E2F1,ST13 
E2F1,SSTR1 
E2F1,SSR4 
E2F1,SSFA2 
E2F1,SPOCK1 
E2F1,SPG21 
E2F1,SPCS1 
E2F1,SP110 
E2F1,SOCS2 
E2F1,SNTB2 
E2F1,SLC7A9 
E2F1,SLC3A2 
E2F1,SLC2A3 
E2F1,SLC28A1 
E2F1,SLC15A1 
E2F1,SIRPA 
E2F1,SH3GLB1 
E2F1,SGSH 
E2F1,SERPINE1 
E2F1,SECISBP2 
E2F1,SEC63 
E2F1,SCG3 
E2F1,SCARF1 
E2F1,SAV1 
E2F1,SAFB2 
E2F1,RXRG 
E2F1,RUVBL2 
E2F1,RTN2 
E2F1,RPS6KB1 
E2F1,RPL31 
E2F1,RPL10A 
E2F1,RPA3 
E2F1,RNF128 
E2F1,RFC4 
E2F1,RFC2 
E2F1,RECK 
E2F1,RDH16 
E2F1,RBP3 
E2F1,RASSF8 
E2F1,RANGRF 
E2F1,RALGDS 
E2F1,RAD54L 
E2F1,RAD52 
E2F1,PWP2 
E2F1,PUS3 
E2F1,PTPRC 
E2F1,PTPN7 
E2F1,PTPN6 
E2F1,PTGER2 
E2F1,PSMC6 
E2F1,PSMA4 
E2F1,PRKAR1A 
E2F1,PRKACA 
E2F1,PRIM2 
E2F1,PRDM2 
E2F1,PRDM1 
E2F1,PPP2R2D 
E2F1,POU3F2 
E2F1,POU2AF1 
